Number,Genre,Link
1,pop,https://embed.spotify.com/?uri=spotify:playlist:6gS3HhOiI17QNojjPuPzqc
2,dance pop,https://embed.spotify.com/?uri=spotify:playlist:2ZIRxkFuqNPMnlY7vL54uK
3,rap,https://embed.spotify.com/?uri=spotify:playlist:6s5MoZzR70Qef7x4bVxDO1
4,rock,https://embed.spotify.com/?uri=spotify:playlist:7dowgSWOmvdpwNkGFMUs6e
5,hip hop,https://embed.spotify.com/?uri=spotify:playlist:6MXkE0uYF4XwU4VTtyrpfP
6,urbano latino,https://embed.spotify.com/?uri=spotify:playlist:1kfJj9rUlOGawu2U1U4oZn
7,pop rap,https://embed.spotify.com/?uri=spotify:playlist:5SrYLEPXnsfmK4ZuOCIKKm
8,reggaeton,https://embed.spotify.com/?uri=spotify:playlist:0VKCDh1qcRXjMfDhGEXihm
9,edm,https://embed.spotify.com/?uri=spotify:playlist:3pDxuMpz94eDs7WFqudTbZ
10,trap,https://embed.spotify.com/?uri=spotify:playlist:60SHtDyagDjPnUpC7x1UD9
11,modern rock,https://embed.spotify.com/?uri=spotify:playlist:5HufsVvMDoIPr9tGzoJpW0
12,latin pop,https://embed.spotify.com/?uri=spotify:playlist:5tRvNV4dHaAbqPORml4YFS
13,r&b,https://embed.spotify.com/?uri=spotify:playlist:1rLnwJimWCmjp3f0mEbnkY
14,musica mexicana,https://embed.spotify.com/?uri=spotify:playlist:0Vv6NMPjPTWbdPybFlryM4
15,pop dance,https://embed.spotify.com/?uri=spotify:playlist:2HhaArHsOiofpUheCRPkLa
16,classic rock,https://embed.spotify.com/?uri=spotify:playlist:6NbtuNCQqvy9FXg1eYNqjJ
17,trap latino,https://embed.spotify.com/?uri=spotify:playlist:7MIkj5EbBCaUutUBEfGpEJ
18,permanent wave,https://embed.spotify.com/?uri=spotify:playlist:4EYSGTuqe9cVfSVpX4gtGv
19,mellow gold,https://embed.spotify.com/?uri=spotify:playlist:49vErWAk7BLsLccmRxngH3
20,post-teen pop,https://embed.spotify.com/?uri=spotify:playlist:10FCW9lj0NdeoYI5VVvVtY
21,tropical house,https://embed.spotify.com/?uri=spotify:playlist:5Z4GsFxPRJiN9Qme2P9q6H
22,soft rock,https://embed.spotify.com/?uri=spotify:playlist:7ABVommvnBuEMEwF5tTxkW
23,canadian pop,https://embed.spotify.com/?uri=spotify:playlist:4GdH9Ia0enMmulZlKOt9n4
24,adult standards,https://embed.spotify.com/?uri=spotify:playlist:0FmeDxPXfsozPAyWv9uFjL
25,nueva musica mexicana,https://embed.spotify.com/?uri=spotify:playlist:20K7P3XPAqGdC0P42EAY1j
26,k-pop,https://embed.spotify.com/?uri=spotify:playlist:3T1Rft817cZ3pguTvaWaz3
27,alternative metal,https://embed.spotify.com/?uri=spotify:playlist:0zJrEnj3O8CohOpFFUVSo9
28,pop rock,https://embed.spotify.com/?uri=spotify:playlist:1voR0tqN6ZFkQ9QABvbCkZ
29,filmi,https://embed.spotify.com/?uri=spotify:playlist:1uny7o4LNoe7C5qJJ8S1k1
30,desi pop,https://embed.spotify.com/?uri=spotify:playlist:7JHxvhw9XPNKqtCt70xnAf
31,album rock,https://embed.spotify.com/?uri=spotify:playlist:3yj9YnQGTdnFuKbDyXGDi6
32,urban contemporary,https://embed.spotify.com/?uri=spotify:playlist:07zF8MjQPsiYUXiAIGZ5TA
33,electropop,https://embed.spotify.com/?uri=spotify:playlist:1BYospE2cLB28m3i84dcTV
34,contemporary country,https://embed.spotify.com/?uri=spotify:playlist:0VZfpqcbBUWC6kpP1vVrvA
35,electro house,https://embed.spotify.com/?uri=spotify:playlist:4luNnGhISZdURbFcCl2dB6
36,country,https://embed.spotify.com/?uri=spotify:playlist:4mijVkpSXJziPiOrK7YX4M
37,southern hip hop,https://embed.spotify.com/?uri=spotify:playlist:18jT9NMRZifv6cMtK2jWD4
38,modern bollywood,https://embed.spotify.com/?uri=spotify:playlist:2HibxdzVLGDPR5GIrm4cza
39,melodic rap,https://embed.spotify.com/?uri=spotify:playlist:2V9SF7DMoOLEvxGVGT4uuU
40,indie pop,https://embed.spotify.com/?uri=spotify:playlist:1aYiM4zLmBuFq0Fg6NQb6a
